,CHD4,DDX5,DDX17,DDX21,DNMT1,HNRNPC,HNRNPK,MATR3,NUP93,PCBP1,PCBP2,PDS5A,PHB2,PSIP1,SFPQ,SMARCA5,TOP2A,TOP2B,TIF1B,XRCC5
XRCC5,0.0200918,0,0,0.0362329,0.0214639,0.0407338,0.00140958,0,0.0092081,0.00104111,0,0.0978912,0.00613691,0.0155218,0.113412,0.0267301,0.00907035,0.00360303,0.0276149,1
TIF1B,0.0129802,0.00416,0.00247402,0.0172354,0.00368678,0.00639607,0.00823183,0,0.00205905,0.00705095,0.000288247,0.0712342,0,0.0203279,0.0149325,0.0163752,0.00798483,0.0176061,1,0.0276149
TOP2B,0.000802833,0.000223829,0.000230315,0.00114176,0.000576654,0.000165269,0.00218845,0,0.000162689,0.000237677,0.00149224,0.00899124,0.172767,0.00239761,0.00132951,0.00142292,0.000563878,1,0.0176061,0.00360303
TOP2A,0.00921139,0.00674861,0.00766838,0.0107403,0,0.012245,0.000517294,0,0.00552293,0.000577473,0,0.0074555,0.000324095,0.0113449,0.0158322,0.00161451,1,0.000563878,0.00798483,0.00907035
SMARCA5,0.0160681,0.00592725,0.00781163,0.00730541,0.0653214,0.0020414,0.00199923,0,0.00518984,0.00333191,0.000783486,0.0264782,0,0.0254181,0.0161942,1,0.00161451,0.00142292,0.0163752,0.0267301
SFPQ,0.112746,0,0,0.0396347,0,0.0561317,0.0034419,0,0.0110314,0.0050691,0.000265433,0.0336056,0.0137288,0.019681,1,0.0161942,0.0158322,0.00132951,0.0149325,0.113412
PSIP1,0.0020772,0.0149541,0.00751259,0.0170808,0.00340029,0.00965846,0.00957828,0,0.00217908,0.0033506,0.00538711,0.00757339,0.00620866,1,0.019681,0.0254181,0.0113449,0.00239761,0.0203279,0.0155218
PHB2,0,0.0117347,0.0136801,0.000497725,0.0987283,0.00367119,0.00170565,0,0,0.00370553,0.00450054,0.0087988,1,0.00620866,0.0137288,0,0.000324095,0.172767,0,0.00613691
PDS5A,0.0173771,0.00286502,0.00425934,0.0218075,0.00777407,0.0151265,0.00822323,0,0.00109374,0.00750889,0.00173029,1,0.0087988,0.00757339,0.0336056,0.0264782,0.0074555,0.00899124,0.0712342,0.0978912
PCBP2,0,0,0.000996485,0.00154046,0,0,0.155505,0,0,0.19049,1,0.00173029,0.00450054,0.00538711,0.000265433,0.000783486,0,0.00149224,0.000288247,0
PCBP1,0.00163298,0,0,0.00278295,0,0.00550977,0.175513,0,0.001203,1,0.19049,0.00750889,0.00370553,0.0033506,0.0050691,0.00333191,0.000577473,0.000237677,0.00705095,0.00104111
NUP93,0,0,0,0.00451955,0,0.00495049,0.0017004,0,1,0.001203,0,0.00109374,0,0.00217908,0.0110314,0.00518984,0.00552293,0.000162689,0.00205905,0.0092081
MATR3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPK,0.000854024,0.00242438,8.17E-05,0.00275947,0.000118356,0.00187072,1,0,0.0017004,0.175513,0.155505,0.00822323,0.00170565,0.00957828,0.0034419,0.00199923,0.000517294,0.00218845,0.00823183,0.00140958
HNRNPC,0.0173951,0.0147327,0.0116167,0.038916,0,1,0.00187072,0,0.00495049,0.00550977,0,0.0151265,0.00367119,0.00965846,0.0561317,0.0020414,0.012245,0.000165269,0.00639607,0.0407338
DNMT1,0,0.00426153,0,0,1,0,0.000118356,0,0,0,0,0.00777407,0.0987283,0.00340029,0,0.0653214,0,0.000576654,0.00368678,0.0214639
DDX21,0.0173027,0.012189,0.00956725,1,0,0.038916,0.00275947,0,0.00451955,0.00278295,0.00154046,0.0218075,0.000497725,0.0170808,0.0396347,0.00730541,0.0107403,0.00114176,0.0172354,0.0362329
DDX17,0,0.0445424,1,0.00956725,0,0.0116167,8.17E-05,0,0,0,0.000996485,0.00425934,0.0136801,0.00751259,0,0.00781163,0.00766838,0.000230315,0.00247402,0
DDX5,0,1,0.0445424,0.012189,0.00426153,0.0147327,0.00242438,0,0,0,0,0.00286502,0.0117347,0.0149541,0,0.00592725,0.00674861,0.000223829,0.00416,0
CHD4,1,0,0,0.0173027,0,0.0173951,0.000854024,0,0,0.00163298,0,0.0173771,0,0.0020772,0.112746,0.0160681,0.00921139,0.000802833,0.0129802,0.0200918
